problem_id,worker_role,worker_domain,problem_title,problem_description,type_of_issue,impacted_users_estimate,public_reputation_risk,revenue_impact_estimate,time_to_fix_estimate_hours,label
P0269,Product Designer,User Experience,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,345737,1,75088,3,hair_on_fire
P0270,Policy Analyst,Trust & Safety,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,65242,0,20934,53,hair_on_fire
P0271,Policy Analyst,Core Engineering,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,385497,0,0,19,vitamin
P0272,Community Manager,Growth,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,784156,1,71989,62,hair_on_fire
P0273,Product Designer,Accessibility,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,551133,1,47419,11,hair_on_fire
P0274,Engineer,Platform Integrity,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,600621,0,0,68,hair_on_fire
P0275,Community Manager,Core Engineering,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,751842,1,0,67,hair_on_fire
P0276,Community Manager,Platform Integrity,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,138453,1,7567,61,hair_on_fire
P0277,Policy Analyst,Platform Integrity,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,266917,0,75800,11,hair_on_fire
P0278,Content Moderator,Developer Tools,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,734506,0,7897,10,hair_on_fire
P0279,Community Manager,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,428828,0,84085,55,hair_on_fire
P0280,Marketer,Developer Tools,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,911962,1,89486,71,hair_on_fire
P0281,Research Scientist,Trust & Safety,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,187243,1,95401,30,hair_on_fire
P0282,Content Moderator,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,485594,1,30102,33,hair_on_fire
P0283,Community Manager,Trust & Safety,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,289139,0,95030,16,hair_on_fire
P0284,Content Moderator,Developer Tools,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,252456,0,0,6,hair_on_fire
P0285,Community Manager,Platform Integrity,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,776613,0,30715,71,hair_on_fire
P0286,Product Designer,Platform Integrity,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,528473,1,0,42,vitamin
P0287,Marketer,Accessibility,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,918923,0,68321,30,hair_on_fire
P0288,Data Scientist,Monetization,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,64018,0,55994,65,hair_on_fire
P0289,Content Moderator,Trust & Safety,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,824075,1,53511,21,hair_on_fire
P0290,Policy Analyst,Developer Tools,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,791162,1,0,30,vitamin
P0291,Policy Analyst,Growth,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,959275,0,54592,69,hair_on_fire
P0292,Research Scientist,Developer Tools,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,267482,0,10363,59,hair_on_fire
P0293,Marketer,Core Engineering,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,54140,1,79294,7,hair_on_fire
P0294,Engineer,Accessibility,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,502781,0,43642,40,hair_on_fire
P0295,Content Moderator,Accessibility,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,777593,0,98871,63,hair_on_fire
P0296,Product Designer,Accessibility,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,959679,0,37101,50,hair_on_fire
P0297,Community Manager,Trust & Safety,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,274367,1,65179,61,hair_on_fire
P0298,Engineer,User Experience,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,958845,0,54254,7,hair_on_fire
P0299,Product Designer,Growth,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,273541,1,0,27,hair_on_fire
P0300,Marketer,Accessibility,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,597567,0,85800,45,hair_on_fire
P0301,Policy Analyst,User Experience,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,483314,0,46160,23,hair_on_fire
P0302,Research Scientist,User Experience,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,961538,0,9742,8,hair_on_fire
P0303,Content Moderator,Developer Tools,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,883572,0,0,21,vitamin
P0304,Content Moderator,Accessibility,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,391429,0,87392,63,hair_on_fire
P0305,Community Manager,Platform Integrity,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,558165,1,0,69,hair_on_fire
P0306,Policy Analyst,Monetization,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,526711,1,23496,15,hair_on_fire
P0307,Engineer,Growth,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,201355,1,35038,52,hair_on_fire
P0308,Engineer,Trust & Safety,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,481394,0,29603,40,hair_on_fire
P0309,Engineer,Platform Integrity,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,425065,1,62390,9,hair_on_fire
P0310,Content Moderator,Growth,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,524239,1,43420,14,hair_on_fire
P0311,Content Moderator,Accessibility,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,945153,1,0,11,hair_on_fire
P0312,Policy Analyst,Platform Integrity,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,973982,1,0,28,vitamin
P0313,Research Scientist,Developer Tools,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,313914,0,74277,51,hair_on_fire
P0314,Marketer,Developer Tools,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,828997,0,45332,8,hair_on_fire
P0315,Engineer,Developer Tools,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,879514,0,80460,52,hair_on_fire
P0316,Marketer,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,821709,1,46636,72,hair_on_fire
P0317,Data Scientist,Developer Tools,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,712811,1,0,39,vitamin
P0318,Product Designer,Core Engineering,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,281089,0,83086,21,hair_on_fire
P0319,Data Scientist,Trust & Safety,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,111826,0,0,41,hair_on_fire
P0320,Community Manager,Trust & Safety,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,107297,0,0,57,vitamin
P0321,Community Manager,Developer Tools,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,27637,0,12198,43,hair_on_fire
P0322,Data Scientist,Platform Integrity,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,434011,1,95006,33,hair_on_fire
P0323,Research Scientist,Developer Tools,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,145684,1,64634,20,hair_on_fire
P0324,Engineer,Growth,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,289466,1,0,11,hair_on_fire
P0325,Marketer,Monetization,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,756017,1,25630,60,hair_on_fire
P0326,Engineer,Growth,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,7196,1,81289,50,hair_on_fire
P0327,Marketer,User Experience,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,451633,0,79064,27,hair_on_fire
P0328,Community Manager,Trust & Safety,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,417684,1,0,64,vitamin
P0329,Product Designer,Trust & Safety,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,294016,1,73905,27,hair_on_fire
P0330,Research Scientist,Platform Integrity,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,988880,0,38185,10,hair_on_fire
P0331,Data Scientist,User Experience,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,664200,1,0,21,vitamin
P0332,Data Scientist,Developer Tools,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,470980,1,70040,66,hair_on_fire
P0333,Data Scientist,Platform Integrity,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,735816,0,0,33,hair_on_fire
P0334,Marketer,Growth,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,590679,1,43463,57,hair_on_fire
P0335,Engineer,Platform Integrity,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,271406,0,67999,30,hair_on_fire
P0336,Community Manager,Trust & Safety,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,485656,0,3219,63,hair_on_fire
P0337,Engineer,Monetization,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,965364,0,0,20,hair_on_fire
P0338,Marketer,Monetization,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,477550,0,45652,62,hair_on_fire
P0339,Engineer,User Experience,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,334500,0,93163,16,hair_on_fire
P0340,Content Moderator,Trust & Safety,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,710132,0,97057,33,hair_on_fire
P0341,Research Scientist,Growth,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,587144,1,30389,53,hair_on_fire
P0342,Research Scientist,Growth,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,414898,0,25863,59,hair_on_fire
P0343,Data Scientist,Developer Tools,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,739068,0,0,10,hair_on_fire
P0344,Engineer,Growth,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,341919,0,34387,64,hair_on_fire
P0345,Marketer,Developer Tools,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,615619,0,60012,24,hair_on_fire
P0346,Policy Analyst,Core Engineering,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,328499,0,0,16,vitamin
P0347,Research Scientist,Trust & Safety,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,535738,1,18070,51,hair_on_fire
P0348,Data Scientist,Growth,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,666471,0,64178,38,hair_on_fire
P0349,Research Scientist,Growth,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,882985,1,47059,3,hair_on_fire
P0350,Community Manager,Growth,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,854915,1,66248,65,hair_on_fire
P0351,Data Scientist,User Experience,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,744738,1,10835,5,hair_on_fire
P0352,Product Designer,Monetization,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,288304,0,22047,60,hair_on_fire
P0353,Community Manager,Core Engineering,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,281001,1,99193,7,hair_on_fire
P0354,Community Manager,Accessibility,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,107491,0,0,6,hair_on_fire
P0355,Community Manager,Monetization,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,904181,0,15386,32,hair_on_fire
P0356,Product Designer,Trust & Safety,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,174144,0,27124,9,hair_on_fire
P0357,Marketer,Monetization,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,339475,1,0,36,vitamin
P0358,Engineer,Growth,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,963498,0,85969,18,hair_on_fire
P0359,Research Scientist,Accessibility,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,746051,1,99807,52,hair_on_fire
P0360,Community Manager,Growth,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,658409,1,9898,13,hair_on_fire
P0361,Data Scientist,Monetization,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,476882,1,324,13,hair_on_fire
P0362,Community Manager,Trust & Safety,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,834428,1,0,56,vitamin
P0363,Product Designer,User Experience,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,338648,1,75750,18,hair_on_fire
P0364,Community Manager,Trust & Safety,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,48274,0,60238,4,hair_on_fire
P0365,Engineer,Growth,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,478793,0,56072,27,hair_on_fire
P0366,Research Scientist,Monetization,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,916999,1,0,48,vitamin
P0367,Policy Analyst,Core Engineering,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,696887,0,0,41,hair_on_fire
P0368,Product Designer,Developer Tools,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,737980,0,0,63,vitamin
P0369,Engineer,Growth,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,544776,1,0,45,hair_on_fire
P0370,Engineer,Developer Tools,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,501005,0,0,13,vitamin
P0371,Engineer,Core Engineering,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,385516,1,0,19,hair_on_fire
P0372,Research Scientist,Core Engineering,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,640066,0,94690,29,hair_on_fire
P0373,Research Scientist,Developer Tools,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,901836,0,0,14,vitamin
P0374,Research Scientist,Core Engineering,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,368711,1,18327,33,hair_on_fire
P0375,Policy Analyst,Core Engineering,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,580378,1,90502,5,hair_on_fire
P0376,Policy Analyst,Accessibility,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,784270,1,0,8,hair_on_fire
P0377,Product Designer,User Experience,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,118320,0,77847,11,hair_on_fire
P0378,Content Moderator,Trust & Safety,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,138494,1,74498,55,hair_on_fire
P0379,Marketer,Growth,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,807888,0,0,10,vitamin
P0380,Content Moderator,Monetization,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,41861,0,52163,66,hair_on_fire
P0381,Policy Analyst,Developer Tools,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,736001,1,0,70,hair_on_fire
P0382,Research Scientist,Monetization,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,325060,0,26633,21,hair_on_fire
P0383,Marketer,Developer Tools,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,325336,1,31278,9,hair_on_fire
P0384,Product Designer,Core Engineering,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,121720,1,7212,41,hair_on_fire
P0385,Research Scientist,Core Engineering,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,742387,0,21473,65,hair_on_fire
P0386,Marketer,Monetization,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,390033,0,35227,17,hair_on_fire
P0387,Content Moderator,Trust & Safety,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,285292,0,0,11,hair_on_fire
P0388,Community Manager,User Experience,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,58232,1,21873,49,hair_on_fire
P0389,Research Scientist,Monetization,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,937808,0,0,67,vitamin
P0390,Content Moderator,Platform Integrity,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,256530,0,50197,21,hair_on_fire
P0391,Research Scientist,Platform Integrity,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,235521,1,0,42,hair_on_fire
P0392,Policy Analyst,Core Engineering,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,125300,0,0,68,hair_on_fire
P0393,Content Moderator,Developer Tools,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,919691,1,40723,43,hair_on_fire
P0394,Engineer,User Experience,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,386939,0,0,40,hair_on_fire
P0395,Product Designer,User Experience,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,620532,1,25614,71,hair_on_fire
P0396,Product Designer,Growth,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,977789,1,0,71,hair_on_fire
P0397,Marketer,Platform Integrity,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,1633,1,95317,41,hair_on_fire
P0398,Engineer,Accessibility,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,440308,1,18661,37,hair_on_fire
P0399,Engineer,Platform Integrity,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,940974,1,48823,60,hair_on_fire
P0400,Engineer,Core Engineering,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,668269,1,0,9,vitamin
P0401,Data Scientist,Growth,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,305944,1,51505,43,hair_on_fire
P0402,Marketer,User Experience,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,245059,0,17840,15,hair_on_fire
P0403,Research Scientist,Core Engineering,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,471504,1,15825,70,hair_on_fire
P0404,Marketer,Accessibility,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,323384,1,0,17,vitamin
P0405,Engineer,Growth,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,866629,0,0,43,vitamin
P0406,Research Scientist,Core Engineering,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,373123,1,88759,40,hair_on_fire
P0407,Policy Analyst,Growth,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,998445,1,72869,72,hair_on_fire
P0408,Product Designer,Core Engineering,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,106957,0,0,9,vitamin
P0409,Product Designer,Growth,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,863784,1,82614,12,hair_on_fire
P0410,Policy Analyst,Core Engineering,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,67703,0,58121,18,hair_on_fire
P0411,Engineer,Trust & Safety,Users report that the button to submit forms is not working on mobile devices,Users report that the button to submit forms is not working on mobile devices.,UX bug,44870,1,0,57,vitamin
P0412,Data Scientist,User Experience,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,401420,1,0,29,hair_on_fire
P0413,Research Scientist,Monetization,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,467776,0,0,33,vitamin
P0414,Policy Analyst,User Experience,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,925760,1,0,37,hair_on_fire
P0415,Data Scientist,Growth,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,209246,0,71258,4,hair_on_fire
P0416,Data Scientist,Trust & Safety,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,571068,1,74141,66,hair_on_fire
P0417,Marketer,Developer Tools,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,188650,0,28707,5,hair_on_fire
P0418,Policy Analyst,Platform Integrity,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,555249,1,30508,22,hair_on_fire
P0419,Engineer,Accessibility,API servers experience outages affecting user authentication,API servers experience outages affecting user authentication.,server downtime,279573,0,28758,51,hair_on_fire
P0420,Marketer,Growth,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,248141,1,91439,47,hair_on_fire
P0421,Content Moderator,Trust & Safety,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,590562,0,64517,71,hair_on_fire
P0422,Policy Analyst,Growth,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,39907,0,0,30,vitamin
P0423,Content Moderator,User Experience,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,347948,0,44663,24,hair_on_fire
P0424,Marketer,Platform Integrity,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,154987,0,68982,48,hair_on_fire
P0425,Engineer,Trust & Safety,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,614583,0,42284,19,hair_on_fire
P0426,Research Scientist,Developer Tools,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,680814,1,0,47,vitamin
P0427,Product Designer,Growth,Detected unauthorized access to user data through a vulnerability,Detected unauthorized access to user data through a vulnerability.,security breach,321827,1,0,2,hair_on_fire
P0428,Data Scientist,Platform Integrity,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,631750,1,80134,30,hair_on_fire
P0429,Engineer,User Experience,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,347355,0,0,42,vitamin
P0430,Research Scientist,Core Engineering,Moderators are overwhelmed with spam reports; SLA targets are not being met,Moderators are overwhelmed with spam reports; SLA targets are not being met.,community report overload,468425,0,0,33,hair_on_fire
P0431,Engineer,Trust & Safety,Inappropriate ads are being shown alongside children's content,Inappropriate ads are being shown alongside children's content.,ad misplacement,825350,0,6310,51,hair_on_fire
P0432,Community Manager,Developer Tools,"The recommendation system is favoring a narrow group of creators, leading to unfair exposure","The recommendation system is favoring a narrow group of creators, leading to unfair exposure.",algorithm bias,927619,1,49638,46,hair_on_fire
P0433,Data Scientist,Core Engineering,"App launch times have increased, leading to user drop-off","App launch times have increased, leading to user drop-off.",slow app performance,827143,0,0,11,vitamin
P0434,Content Moderator,Monetization,Users are sharing false information rapidly,Users are sharing false information rapidly. Needs immediate intervention to avoid public trust issues.,misinformation,334298,1,9725,45,hair_on_fire
